# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
CSRP3,0.636,0.782,0.000e+0
LMO7,0.581,0.782,0.000e+0
RNF115,0.642,0.781,0.000e+0
CEP85L,0.550,0.781,0.000e+0
CD36,0.618,0.780,0.000e+0
TMCC1,0.551,0.780,0.000e+0
UNC13B,0.544,0.780,0.000e+0
LMOD3,0.502,0.778,0.000e+0
SRL,0.514,0.776,0.000e+0
ASB15,0.508,0.776,0.000e+0
VPS8,0.518,0.775,0.000e+0
DLG2,0.624,0.774,0.000e+0
SPEG,0.495,0.767,0.000e+0
SLC16A10,0.553,0.766,0.000e+0
MYOM3,0.531,0.765,0.000e+0
HECTD1,0.593,0.763,0.000e+0
PAFAH1B1,0.595,0.762,0.000e+0
WDPCP,0.712,0.759,0.000e+0
GOLGA4,0.676,0.758,0.000e+0
KLHL24,0.529,0.757,0.000e+0
RALGAPA1,0.526,0.757,0.000e+0
PTPRM,0.559,0.757,0.000e+0
SAMD4A,0.608,0.755,0.000e+0
KIAA0232,0.498,0.754,0.000e+0
NCOA1,0.618,0.752,0.000e+0
NPHP1,0.506,0.750,0.000e+0
GMPR,0.481,0.749,0.000e+0
ANK3,0.488,0.749,0.000e+0
USP53,0.585,0.747,0.000e+0
RICTOR,0.534,0.745,0.000e+0
PPM1L,0.649,0.741,0.000e+0
PKIA,0.471,0.740,0.000e+0
VCL,0.599,0.740,0.000e+0
SGCA,0.541,0.739,0.000e+0
CACNB1,0.498,0.737,0.000e+0
TMEM38B,0.513,0.736,0.000e+0
CH17-189H20.1,0.549,0.735,0.000e+0
PGM1,0.528,0.733,0.000e+0
TNRC6A,0.474,0.733,0.000e+0
FSD2,0.463,0.731,0.000e+0
GTF2I,0.556,0.731,0.000e+0
USO1,0.525,0.730,0.000e+0
PDLIM7,0.559,0.730,0.000e+0
MEF2A,0.592,0.728,0.000e+0
MED13,0.523,0.727,0.000e+0
OSBPL6,0.491,0.727,0.000e+0
SLC38A2,0.767,0.726,0.000e+0
VPS13D,0.479,0.725,0.000e+0
ASPH,0.663,0.724,0.000e+0
GTF2IRD1,0.488,0.724,0.000e+0
NFAT5,0.542,0.724,0.000e+0
ASB8,0.486,0.723,0.000e+0
TRIM72,0.430,0.722,0.000e+0
PER1,0.519,0.722,0.000e+0
UBE3A,0.552,0.721,0.000e+0
LINGO1,0.511,0.719,0.000e+0
KPNA1,0.459,0.718,0.000e+0
UBR5,0.509,0.716,0.000e+0
PHKB,0.476,0.715,0.000e+0
SLC7A6,0.472,0.714,0.000e+0
FGF13,0.522,0.712,0.000e+0
SRRM2,0.743,0.712,0.000e+0
FBXL17,0.496,0.712,0.000e+0
MYO18A,0.438,0.710,0.000e+0
FAF1,0.475,0.709,0.000e+0
KCNMA1,0.479,0.709,0.000e+0
AKAP13,0.603,0.709,0.000e+0
SNRNP70,0.614,0.709,0.000e+0
SLC29A2,0.438,0.708,0.000e+0
CAPN7,0.484,0.708,0.000e+0
MBP,0.467,0.708,0.000e+0
ATP8A1,0.432,0.707,0.000e+0
EEF1A2,0.476,0.707,0.000e+0
RASA4,0.482,0.706,0.000e+0
HERC1,0.470,0.705,0.000e+0
SCN4A,0.451,0.705,0.000e+0
ATP6V0A1,0.474,0.704,0.000e+0
CAPN3,0.515,0.704,0.000e+0
PNISR,0.732,0.702,0.000e+0
TMEM161B-AS1,0.441,0.702,0.000e+0
ZNF207,0.594,0.701,0.000e+0
STIM1,0.466,0.699,0.000e+0
GRIP2,0.429,0.699,0.000e+0
SORT1,0.431,0.695,0.000e+0
ABRA,0.437,0.694,0.000e+0
RIF1,0.528,0.694,0.000e+0
GGT7,0.512,0.693,0.000e+0
UBR2,0.445,0.691,0.000e+0
MYLK2,0.438,0.691,0.000e+0
ANKRD17,0.500,0.690,0.000e+0
ZFPM2,0.494,0.690,0.000e+0
ARIH2,0.450,0.689,0.000e+0
ATXN1,0.499,0.689,0.000e+0
IP6K3,0.400,0.687,0.000e+0
SMPX,0.424,0.687,0.000e+0
OPTN,0.578,0.687,0.000e+0
DYSF,0.425,0.687,0.000e+0
NFE2L1,0.467,0.686,0.000e+0
EPS15L1,0.447,0.686,0.000e+0
RBM6,0.488,0.685,0.000e+0
MBNL2,0.493,0.684,0.000e+0
SMYD1,0.400,0.683,0.000e+0
SNX1,0.480,0.683,0.000e+0
EGLN1,0.457,0.682,0.000e+0
HOOK2,0.441,0.681,0.000e+0
RASGEF1B,0.484,0.680,0.000e+0
JPH2,0.399,0.679,0.000e+0
ASB2,0.445,0.678,0.000e+0
CADM2,0.470,0.678,0.000e+0
RCOR3,0.489,0.677,0.000e+0
KALRN,0.409,0.677,0.000e+0
MEF2C-AS1,0.434,0.677,0.000e+0
RBM20,0.471,0.677,0.000e+0
SMTNL2,0.388,0.677,0.000e+0
COL4A4,0.415,0.676,0.000e+0
SEMA6C,0.420,0.675,0.000e+0
TNK2,0.410,0.675,0.000e+0
ELF2,0.508,0.673,0.000e+0
FNDC3B,0.612,0.672,0.000e+0
CLIC5,0.400,0.670,0.000e+0
C10orf71,0.386,0.670,0.000e+0
EPS15,0.473,0.669,0.000e+0
SAR1B,0.441,0.666,0.000e+0
PALMD,0.402,0.663,0.000e+0
MED13L,0.517,0.662,0.000e+0
HHATL,0.411,0.662,0.000e+0
SCAPER,0.425,0.662,0.000e+0
JMJD1C,0.585,0.661,0.000e+0
JSRP1,0.361,0.660,0.000e+0
RBM33,0.427,0.658,0.000e+0
MYO9A,0.452,0.658,0.000e+0
UTY,0.380,0.655,0.000e+0
CLK4,0.437,0.654,0.000e+0
ARPP19,0.461,0.651,0.000e+0
STK3,0.473,0.651,0.000e+0
MACROD1,0.384,0.651,0.000e+0
CCPG1,0.473,0.650,0.000e+0
DYRK1A,0.428,0.650,0.000e+0
EIF4G3,0.464,0.649,0.000e+0
LRRC39,0.365,0.646,0.000e+0
EXOC6,0.378,0.646,0.000e+0
THRAP3,0.514,0.646,0.000e+0
MARCHF6,0.428,0.646,0.000e+0
PTPRG,0.555,0.643,0.000e+0
MDM4,0.429,0.643,0.000e+0
ANKRD12,0.552,0.641,0.000e+0
MICAL3,0.370,0.640,0.000e+0
PPP3CB,0.416,0.640,0.000e+0
ABCC9,0.420,0.639,0.000e+0
MYLK4,0.427,0.638,0.000e+0
DGKZ,0.377,0.638,0.000e+0
EEPD1,0.397,0.635,0.000e+0
LARGE1,0.454,0.634,0.000e+0
MYH7B,0.490,0.634,0.000e+0
RTN2,0.358,0.633,0.000e+0
TRIM7,0.400,0.633,0.000e+0
SCN1B,0.354,0.633,0.000e+0
NCOR1,0.488,0.632,0.000e+0
RETREG1,0.489,0.632,0.000e+0
DAG1,0.388,0.632,0.000e+0
SCAF11,0.521,0.632,0.000e+0
APOBEC2,0.347,0.631,0.000e+0
NFATC3,0.396,0.631,0.000e+0
PXN,0.402,0.631,0.000e+0
GPAT3,0.384,0.630,0.000e+0
FMNL2,0.480,0.630,0.000e+0
MIR99AHG,0.497,0.629,0.000e+0
PGAM2,0.370,0.628,0.000e+0
CEP85,0.351,0.628,0.000e+0
GPATCH2L,0.395,0.628,0.000e+0
UBE2D1,0.426,0.623,0.000e+0
PHKA1,0.366,0.623,0.000e+0
SMAD3,0.405,0.623,0.000e+0
USP47,0.440,0.622,0.000e+0
HOMER1,0.368,0.622,0.000e+0
PDXDC1,0.442,0.621,0.000e+0
TTC17,0.413,0.621,0.000e+0
ENAH,0.525,0.620,0.000e+0
ZBTB43,0.376,0.620,0.000e+0
RIC1,0.382,0.620,0.000e+0
COBL,0.356,0.619,0.000e+0
STAG1,0.449,0.619,0.000e+0
RBM5,0.426,0.618,0.000e+0
RRAD,0.530,0.617,0.000e+0
LINC00486_ENSG00000230876,0.632,0.617,0.000e+0
EIF4E2,0.443,0.617,0.000e+0
BLCAP,0.429,0.614,0.000e+0
ARHGAP10,0.440,0.614,0.000e+0
TPM1,0.859,0.613,0.000e+0
AAK1,0.408,0.613,0.000e+0
MYL3,0.431,0.612,0.000e+0
CALCOCO1,0.396,0.612,0.000e+0
BACH2,0.372,0.612,0.000e+0
PTPN14,0.377,0.612,0.000e+0
MAPRE2,0.405,0.611,0.000e+0
DLG1,0.403,0.607,0.000e+0
TDRD3,0.360,0.607,0.000e+0
PPP1R3C,0.356,0.607,0.000e+0
SGCG,0.374,0.606,0.000e+0
USP25,0.361,0.606,0.000e+0
INSR,0.389,0.606,0.000e+0
SMTNL1,0.341,0.605,0.000e+0
MACROD2,0.384,0.605,0.000e+0
SSBP2,0.454,0.605,0.000e+0
ARMC8,0.355,0.604,0.000e+0
GYS1,0.340,0.604,0.000e+0
CDKAL1,0.370,0.604,0.000e+0
ARHGEF12,0.406,0.603,0.000e+0
NCOA3,0.398,0.603,0.000e+0
MKNK2,0.370,0.602,0.000e+0
PRPF4B,0.439,0.601,0.000e+0
TMOD1,0.342,0.600,0.000e+0
MT1X,0.877,0.598,0.000e+0
HIPK3,0.389,0.597,0.000e+0
CAVIN4,0.326,0.597,0.000e+0
LINC02256,0.351,0.596,0.000e+0
CLIP4,0.343,0.595,0.000e+0
TLE4,0.432,0.595,0.000e+0
TUBA4A,0.334,0.595,0.000e+0
PTPN3,0.351,0.595,0.000e+0
PSME4,0.426,0.594,0.000e+0
BCAS3,0.385,0.594,0.000e+0
PCMTD1,0.426,0.594,0.000e+0
ITGB6,0.331,0.594,0.000e+0
DPF3,0.331,0.593,0.000e+0
G3BP2,0.387,0.593,0.000e+0
MAU2,0.336,0.593,0.000e+0
UBFD1,0.330,0.592,0.000e+0
KIF13A,0.381,0.592,0.000e+0
MYOZ2,0.370,0.591,0.000e+0
PER3,0.380,0.590,0.000e+0
ANKRD1,0.536,0.589,0.000e+0
TBC1D1,0.341,0.589,0.000e+0
RCAN2,0.369,0.587,0.000e+0
CASQ2,0.323,0.587,0.000e+0
FBXO34,0.336,0.587,0.000e+0
NR2C1,0.334,0.587,0.000e+0
GPD1,0.319,0.586,0.000e+0
UBE2H,0.398,0.586,0.000e+0
ROCK2,0.401,0.585,0.000e+0
DLEU2,0.354,0.585,0.000e+0
TMEM233,0.332,0.585,0.000e+0
ZNF385B,0.378,0.585,0.000e+0
CAMKMT,0.341,0.583,0.000e+0
BAZ2B,0.387,0.583,0.000e+0
SH3BGR,0.318,0.581,0.000e+0
TNNT3,0.552,0.581,0.000e+0
CUL4A,0.344,0.581,0.000e+0
LONP2,0.356,0.581,0.000e+0
RYR3,0.338,0.581,0.000e+0
SHPRH,0.346,0.579,0.000e+0
PBX1,0.477,0.579,0.000e+0
BABAM2,0.367,0.579,0.000e+0
ADCY9,0.346,0.579,0.000e+0
MBD5,0.351,0.579,0.000e+0
ACTN3,0.355,0.578,0.000e+0
KLHL40,0.311,0.578,0.000e+0
HIPK2,0.369,0.578,0.000e+0
UBE2G2,0.357,0.577,0.000e+0
ADPRHL1,0.323,0.575,0.000e+0
RILPL1,0.309,0.575,0.000e+0
SUN1,0.390,0.574,0.000e+0
PSMD1,0.366,0.573,0.000e+0
MITF,0.408,0.573,0.000e+0
ZNF302,0.352,0.572,0.000e+0
FGGY,0.304,0.570,0.000e+0
HOMER2,0.305,0.570,0.000e+0
FAM189A2,0.385,0.569,0.000e+0
CYSTM1,0.459,0.568,0.000e+0
PIAS2,0.319,0.568,0.000e+0
ANKRD9,0.306,0.568,0.000e+0
DUSP13,0.279,0.567,0.000e+0
SLCO5A1,0.294,0.566,0.000e+0
RBM28,0.321,0.566,0.000e+0
TRDN-AS1,0.354,0.564,0.000e+0
GREB1L,0.349,0.564,0.000e+0
SRPK3,0.285,0.563,0.000e+0
USP28,0.295,0.563,0.000e+0
PHF20,0.373,0.563,0.000e+0
BRWD1,0.350,0.563,0.000e+0
STX16,0.335,0.562,0.000e+0
LNPEP,0.330,0.562,0.000e+0
CACNG1,0.281,0.560,0.000e+0
TBC1D5,0.359,0.559,0.000e+0
FBXO40,0.314,0.559,0.000e+0
ABLIM1,0.402,0.558,0.000e+0
SLC16A1-AS1,0.308,0.558,0.000e+0
STRN3,0.361,0.558,0.000e+0
MED14,0.296,0.558,0.000e+0
NAA25,0.299,0.558,0.000e+0
LRCH3,0.324,0.558,0.000e+0
DPH6,0.303,0.557,0.000e+0
TIAM2,0.326,0.557,0.000e+0
CDIN1,0.291,0.557,0.000e+0
IGFN1,0.342,0.557,0.000e+0
CELF1,0.351,0.556,0.000e+0
PPP1R9A,0.285,0.554,0.000e+0
HECTD4,0.305,0.554,0.000e+0
NEK10,0.289,0.554,0.000e+0
SBF2,0.368,0.553,0.000e+0
TOB2,0.372,0.553,0.000e+0
TRIM55,0.274,0.553,0.000e+0
CAMK2B,0.284,0.553,0.000e+0
ATP1B4,0.320,0.552,0.000e+0
SIX1,0.283,0.552,0.000e+0
GAB1,0.306,0.551,0.000e+0
KIF21A,0.295,0.551,0.000e+0
GABPB1-AS1,0.372,0.550,0.000e+0
SMARCD3,0.306,0.550,0.000e+0
NSD1,0.342,0.550,0.000e+0
S100A1,0.331,0.549,0.000e+0
SOS2,0.310,0.549,0.000e+0
RAB10,0.396,0.549,0.000e+0
NIPBL,0.385,0.547,0.000e+0
MSS51,0.289,0.547,0.000e+0
PATJ,0.300,0.546,0.000e+0
LGR5,0.374,0.546,0.000e+0
FGD4,0.314,0.546,0.000e+0
TRAPPC9,0.290,0.546,0.000e+0
EXOC6B,0.318,0.545,0.000e+0
CCSER2,0.350,0.545,0.000e+0
CLASP2,0.310,0.545,0.000e+0
PTK2,0.350,0.544,0.000e+0
RB1CC1,0.380,0.544,0.000e+0
ESRRG,0.315,0.543,0.000e+0
HRC,0.261,0.542,0.000e+0
SUGP2,0.304,0.542,0.000e+0
NKTR,0.421,0.542,0.000e+0
TECRL,0.281,0.541,0.000e+0
GANC,0.283,0.539,0.000e+0
USP2,0.266,0.538,0.000e+0
KDM4C,0.281,0.538,0.000e+0
SETBP1,0.343,0.538,0.000e+0
EPB41L5,0.282,0.538,0.000e+0
TMEM164,0.281,0.537,0.000e+0
ATG14,0.292,0.537,0.000e+0
SCML1,0.335,0.537,0.000e+0
SPAG9,0.443,0.537,0.000e+0
PRKCQ,0.255,0.535,0.000e+0
MAP3K2,0.323,0.535,0.000e+0
MRTFB,0.271,0.531,0.000e+0
STYXL2,0.250,0.530,0.000e+0
SENP6,0.353,0.530,0.000e+0
RAB3GAP1,0.300,0.530,0.000e+0
EMC10,0.431,0.530,0.000e+0
FABP3,0.323,0.529,0.000e+0
PCNX4,0.306,0.529,0.000e+0
CHD9,0.453,0.529,0.000e+0
MLXIPL,0.281,0.528,0.000e+0
IKBKB,0.270,0.528,0.000e+0
LCOR,0.287,0.528,0.000e+0
WDR70,0.298,0.528,0.000e+0
MET,0.251,0.528,0.000e+0
KDM5D,0.262,0.528,0.000e+0
CAND2,0.276,0.528,0.000e+0
TTTY14,0.302,0.527,0.000e+0
CACNA2D3,0.280,0.527,0.000e+0
VPS13B,0.316,0.526,0.000e+0
PLCB1,0.308,0.526,0.000e+0
TMEM182,0.251,0.525,0.000e+0
SLC22A5,0.262,0.524,0.000e+0
GYG1,0.296,0.524,0.000e+0
CLCN1,0.249,0.524,0.000e+0
XIRP1,0.312,0.523,0.000e+0
CSPP1,0.284,0.522,0.000e+0
WWP1,0.277,0.522,0.000e+0
INVS,0.283,0.521,0.000e+0
FNIP2,0.320,0.521,0.000e+0
CASZ1,0.252,0.521,0.000e+0
SF3A3,0.335,0.521,0.000e+0
IFRD1,0.469,0.521,0.000e+0
ABHD15-AS1,0.286,0.521,0.000e+0
DICER1,0.302,0.520,0.000e+0
USP39,0.299,0.520,0.000e+0
HSF2,0.265,0.520,0.000e+0
PIR,0.264,0.519,0.000e+0
SETD5,0.367,0.519,0.000e+0
MON2,0.302,0.519,0.000e+0
CDH15,0.241,0.519,0.000e+0
AGO2,0.289,0.519,0.000e+0
INO80,0.267,0.517,0.000e+0
CDK13,0.302,0.516,0.000e+0
WNK1,0.329,0.516,0.000e+0
FHOD3,0.285,0.516,0.000e+0
EPC1,0.375,0.516,0.000e+0
CHD2,0.355,0.515,0.000e+0
ARRDC2,0.273,0.515,0.000e+0
ZNF438,0.275,0.514,0.000e+0
PEBP4,0.273,0.513,0.000e+0
TMEM120B,0.248,0.513,0.000e+0
MPRIP,0.313,0.512,0.000e+0
HELZ,0.307,0.512,0.000e+0
PHC3,0.278,0.512,0.000e+0
ARIH1,0.316,0.512,0.000e+0
YAF2,0.297,0.512,0.000e+0
USP6,0.245,0.512,0.000e+0
KANSL1,0.307,0.511,0.000e+0
ZNF721,0.272,0.511,0.000e+0
INPP4B,0.290,0.510,0.000e+0
DUSP26,0.231,0.510,0.000e+0
ABHD3,0.268,0.510,0.000e+0
UBAP1,0.295,0.510,0.000e+0
RPTOR,0.261,0.510,0.000e+0
MTMR3,0.263,0.509,0.000e+0
HNRNPU,0.548,0.509,0.000e+0
R3HDM1,0.269,0.509,0.000e+0
TTBK2,0.263,0.509,0.000e+0
ASB10,0.230,0.509,0.000e+0
MARK3,0.307,0.508,0.000e+0
ITFG1,0.332,0.508,0.000e+0
HSF4,0.238,0.508,0.000e+0
PACSIN3,0.255,0.507,0.000e+0
ADGRA3,0.249,0.506,0.000e+0
TRPM7,0.281,0.506,0.000e+0
PPP6R2,0.261,0.506,0.000e+0
